,euclidean,cityblock,chebyshev,cosine,hamming,minkowski
euclidean,0.0,22.215618133544922,0.986093282699585,0.986093282699585,0.986093282699585,0.0
cityblock,22.215618133544922,0.0,22.215618133544922,22.215618133544922,22.215618133544922,22.215618133544922
chebyshev,0.986093282699585,22.215618133544922,0.0,0.08396711945533752,0.07500001788139343,0.986093282699585
cosine,0.986093282699585,22.215618133544922,0.08396711945533752,0.0,0.08396711945533752,0.986093282699585
hamming,0.986093282699585,22.215618133544922,0.07500001788139343,0.08396711945533752,0.0,0.986093282699585
minkowski,0.0,22.215618133544922,0.986093282699585,0.986093282699585,0.986093282699585,0.0
